titulo,empresa,enlace,ubicacion,modalidad,tipo_empleo,tecnologias,fecha,descripcion
IT Project Manager,Michael Page,https://www.tecnoempleo.com/it-project-manager-michael-page/project-manager/rf-78af1c5472a2a3c7d341,12/05/2025,Actualizada,Madrid,Project Manager,Actualizada,"Perfil buscado (Hombre/Mujer)

Reporting to the Head of Professional Services, the selected candidate will be responsible for the following responsibilities:

• Project ...Project Manager"
SAM Data Analyst & Software Developer,Santander,https://www.tecnoempleo.com/sam-data-analyst-software-developer-santander/java-net-python-pyspark/rf-632b1d5b92b5c30dc846,12/05/2025,Actualizada,Madrid,"Java, NET, Python",Actualizada,"Santander Asset Management está buscando un/a Data Analyst & Software Developer para nuestras oficinas en Castellana.

POR QUÉ DEBERÍAS CONSIDERAR ESTA OPORTUNIDAD

En ...JavaNETPython"
Interface Designer,Axiom Software Solutions,https://www.tecnoempleo.com/interface-designer-axiom-software-solutions/ux-ui-figma-adobe-xd-sketch/rf-25501981325683c0414e,12/05/2025,Actualizada,Bruselas,"UX/UI, Figma, Adobe XD",Actualizada,"Job title: Interface Designer
Location: Belgium, Brussels(Hybrid)
B2B contract role
Only EU Citizen can considerable

Job Description:

We currently have a vacancy for ...UX/UIFigmaAdobe XD"
Desarrollador Full Stack,Randstad ES,https://www.tecnoempleo.com/desarrollador-full-stack-randstad-es/react-typescript-node-java/rf-066510e982bc2303e948,12/05/2025,Actualizada,Madrid,"React, TypeScript, Node",Actualizada,"¿Te apasiona la tecnología, el desarrollo full stack y los entornos internacionales? ¿Quieres contribuir activamente a proyectos innovadores que tienen un impacto positivo ...ReactTypeScriptNode"
Desarrollador/a de Software,GMV,https://www.tecnoempleo.com/desarrollador-software-gmv/c-go-rust/rf-89a81438026023ecfc4e,12/05/2025,Actualizada,Madrid,"C++, Go, Rust",Actualizada,"Si siempre soñaste con pasar el día en la Luna, pero eres de los que se marea en los viajes con curvas… ¡Tu sitio está con nosotros! Estamos buscando un Ingeniero/a de ...C++GoRust"
DB Developer,Aristocrat,https://www.tecnoempleo.com/db-developer-aristocrat/sql-t-sql/rf-313417e912f1b3f06047,12/05/2025,Actualizada,Polonia,"SQL, T SQL",Actualizada,"We are looking for a Database Developer. This is a hybrid position based in Cracow or Warsaw, with on-site work required twice a week.

* Design stable, reliable and ...SQLT SQL"
Ingeniero/a jefe de Plataforma de Video,Michael Page,https://www.tecnoempleo.com/ingeniero-jefe-plataforma-video-michael-page/ott/rf-a143142d2208a31c2d4d,12/05/2025,Actualizada,Málaga,OTT,Actualizada,"Perfil buscado (Hombre/Mujer)


Liderar el equipo de la Plataforma de Video OTT.

Supervisar el desarrollo y la implementación de la estrategia tecnológica.

Coordinar con ...OTT"
Angular Developer,sg tech,https://www.tecnoempleo.com/angular-developer-sg-tech/angular-typescript/rf-e77b178da24f53b42745,12/05/2025,Actualizada,100% remoto,"Angular, typescript",Actualizada,"En SGTech estamos buscando un perfil de desarrollo Angular con 3 años de experiencia minimo. 

Ofrecemos: 

100% Remoto.

Horario: De lunes a jueves de 8:00 a 17:00, ...Angulartypescript"
Programador Autómatas,Randstad ES,https://www.tecnoempleo.com/programador-automatas-randstad-es/omron-simatic-step-7-tia-portal/rf-ba0b1105125e63f6ae4a,12/05/2025,Actualizada,Valladolid,"omron, SIMATIC, STEP 7",Actualizada,"¿Quieres seguir desarrollando tu carrera como Técnico de automatización? Si es así, esta es tu oportunidad!!!
 
nuestro cliente
 
Reconocida empresa española, ubicada...omronSIMATICSTEP 7"
Scala Engineer,Axiom Software Solutions,https://www.tecnoempleo.com/scala-engineer-axiom-software-solutions/scala-java/rf-8542177b5246835dc24d,12/05/2025,Actualizada,Holanda Septentrional,"Scala, java",Actualizada,"Role: Scala Engineer
Location: Amsterdam, Netherlands.
Duration: 6-12 month contract
Working Mode: Hybrid

Job Description:

Key Responsibilities:
•	Develop, ...Scalajava"
Hypercare Engineer,Axiom Software Solutions,https://www.tecnoempleo.com/hypercare-engineer-axiom-software-solutions/m365-servicenow/rf-18571aa3225e8357c74f,12/05/2025,Actualizada,West Midlands,"M365, ServiceNow",Actualizada,"Role Description : 

The Hypercare Engineer will provide specialised technical support during the post-migration hypercare period of a major M365 tenant-to-tenant migration ...M365ServiceNow"
Fullstack Software Engineer,Ebury,https://www.tecnoempleo.com/fullstack-software-engineer-ebury/python-django-node-typescript/rf-452913b75251e3d29c43,12/05/2025,Actualizada,Madrid,"Python, Django, Node",Actualizada,"Ebury is a leading global fintech company that empowers businesses to trade and grow internationally. It offers a comprehensive suite of products, including international ...PythonDjangoNode"
