titulo,empresa,enlace,ubicacion,modalidad,tipo_empleo,tecnologias,fecha,descripcion
"Full Stack (Java, Angular)",Serem,https://www.tecnoempleo.com/full-stack-java-angular-serem/java-angular-spring/rf-13eb15fdb2b7130f2a4d,12/05/2025,Actualizada,100% remoto,"java, angular, spring",Actualizada,"Desde Serem nos encontramos en la búsqueda de perfiles FULL STACK Java, Angular para importante cliente modalidad remoto 100%. Admitimos candidaturas de toda España.

...javaangularspring"
Senior Backend Developer Java,Bcnc Group,https://www.tecnoempleo.com/senior-backend-developer-java-bcnc-group/java-kafka-microservicios-arquite/rf-16ef1423527e03b95b45,12/05/2025,Actualizada,100% remoto,"Java, Kafka, Microservicios",Actualizada,"En BCNC Group, estamos en búsqueda de un Senior Backend Developer Java (100% remoto), para formar parte de un equipo multidisciplinar en la compañía más grande en el ...JavaKafkaMicroservicios"
Business analyst with technical knowledg,GlobalSysInfo,https://www.tecnoempleo.com/business-analyst-with-technical-knowledg-globalsys/sql-python/rf-aced1e55029f1313904a,12/05/2025,Actualizada,100% remoto,"SQL, Python",Actualizada,"Functional skills:
- Business knowledge (Markets: SecFinance):
- Stocks and bonds
- Securities loans and repos
- Collateral management

Soft skills:
- Project management: ...SQLPython"
Desarrollador/a Java,Arelance,https://www.tecnoempleo.com/desarrollador-java-arelance/java-springboot-backend-spring-api-api-restful/rf-bea315865286a303b540,12/05/2025,Actualizada,100% remoto,"java, springboot, backend",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...javaspringbootbackend
Programador/a Full Stack Java + Angular,Serem,https://www.tecnoempleo.com/programador-full-stack-java-angular-serem/java-sql-angular-spring-git-micr/rf-203e1e4f4276f3344d4f,12/05/2025,Actualizada,Madrid,"java, sql, angular",Actualizada,"Sobre el puesto

Buscamos un Desarrollador Java Full Stack con experiencia en Java y Angular para unirse a un equipo internacional de desarrollo de software. En este rol, ...javasqlangular"
"Programadores/as y APs Java, Spring",Digital Talent Agency,https://www.tecnoempleo.com/programadores-aps-java-spring-digital-talent-agenc/java-j2ee-spring-struts/rf-49d71b41f284439ce64d,12/05/2025,Actualizada,100% remoto,"java, j2ee, spring",Actualizada,"En DTA buscamos incorporación de perfiles de PROGRAMADOR/a y ANALISTA PROGRAMADOR/a con al menos 3-4 años de experiencia.


¿QUÉ NECESITAMOS DE TI?

Requisitos Mínimos:

...javaj2eespring"
Analista de Datos (Spark/Scala),Arelance,https://www.tecnoempleo.com/analista-datos-spark-scala-arelance/scala-spark-python-azure/rf-2b4a1df3820ad31da64f,12/05/2025,Actualizada,100% remoto,"scala, spark, python",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...scalasparkpython
Test Manager QA TESTER,GlobalSysInfo,https://www.tecnoempleo.com/test-manager-qa-tester-globalsysinfo/qa-automation-quality-analyst/rf-f4201060f2d3c384014d,12/05/2025,Actualizada,Barcelona,"QA, Automation, Quality Analyst",Actualizada,"Location: Hybrid – Barcelona (Minimum 1 day per week onsite in PobleNou or Sant Martí)
Seniority Level: Test Manager / QA Lead
Industry: Insurance

Job Description:
We are ...QAAutomationQuality Analyst"
Técnico/a micro,Grupo Sermicro,https://www.tecnoempleo.com/tecnico-micro-grupo-sermicro/windows-ticketing/rf-dc3b1090b2dea3576842,12/05/2025,Actualizada,Madrid,"WINDOWS, TICKETING",Actualizada,Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador ...WINDOWSTICKETING
Administrador sistemas Active Directory,Serem,https://www.tecnoempleo.com/administrador-sistemas-active-directory-serem/active-directory-powershell-/rf-59f81513e2b323a91148,12/05/2025,Actualizada,Madrid,"Active directory, Powershell, VMware",Actualizada,"En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Buscamos profesionales con experiencia en la administración...Active directoryPowershellVMware"
Desarrollador/a RPG AS400,Serem,https://www.tecnoempleo.com/desarrollador-rpg-as400-serem/rpg-as400-rpgle/rf-81cc1c17229ae342cf4c,12/05/2025,Actualizada,100% remoto,"RPG, AS400, RPGLE",Actualizada,"En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Actualmente estamos en búsqueda de un/a Desarrollador/a ...RPGAS400RPGLE"
Data Scientist (Python/Pyspark),Arelance,https://www.tecnoempleo.com/data-scientist-python-pyspark-arelance/python-sql-aws-data-spark-pyspark/rf-a3bd1492d23633f60543,12/05/2025,Actualizada,100% remoto,"python, sql, aws",Actualizada,"En Arelance sabemos que las personas son el activo más importante dentro de una empresa, por ello invertimos tiempo y dedicación para encontrar los mejores profesionales de ...pythonsqlaws"
Programador/a Java Microservicios,CAS TRAINING,https://www.tecnoempleo.com/programador-java-microservicios-cas-training/java-microservicios-kafka/rf-d71c15ce226e437f9544,12/05/2025,Actualizada,100% remoto,"java, microservicios, Kafka",Actualizada,"CAS Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a un/a Programador/a Java ...javamicroserviciosKafka"
Data Engineer - Data Analyst,Arelance,https://www.tecnoempleo.com/data-engineer-data-analyst-arelance/ssis-sql-server-t-sql-etl-dwh/rf-fbe81b2cd2a483283743,12/05/2025,Actualizada,100% remoto,"SSIS, SQL Server, T SQL",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...SSISSQL ServerT SQL
Consultor/a Gestor Identidades Cyberark,CAS TRAINING,https://www.tecnoempleo.com/consultor-gestor-identidades-cyberark-cas-training/cyberark-pam-ibm-sds-is/rf-49c814dee2ad5313894c,12/05/2025,Actualizada,Madrid,"Cyberark, PAM, IBM SDS",Actualizada,"Seleccionamos, para proyecto con ubicación en Madrid, un profesional con mínimo 3 años de experiencia en administración, despliegue, mantenimiento y upgrades de ...CyberarkPAMIBM SDS"
Técnico Microinformático,Serem,https://www.tecnoempleo.com/tecnico-microinformatico-serem/microinformatica/rf-80621b325293d34dab44,12/05/2025,Actualizada,Barcelona,microinformatica,Actualizada,En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en la búsqueda de un Técnico Microinformá...microinformatica
Ingeniero/a de Inteligencia Artificial,Inkoova,https://www.tecnoempleo.com/ingeniero-inteligencia-artificial-inkoova/tensorflow-machine-learning-pyto/rf-11931860e26683921845,12/05/2025,Actualizada,Barcelona,"tensorflow, machine learning, pytorch",Actualizada,"Estamos buscando un/a profesional con experiencia en el entrenamiento de modelos de Inteligencia Artificial, MLOps, y fine-tuning en Azure para formar parte de nuestro equipo ...tensorflowmachine learningpytorch"
.NET Software Architect,Inkoova,https://www.tecnoempleo.com/net-software-architect-inkoova/net-c-kubernetes-docker-inteligencia-artifi/rf-97601dde1205e336b240,12/05/2025,Actualizada,Barcelona,".net, C#, kubernetes",Actualizada,"Estamos en busca de un Arquitecto .NET para unirse a nuestro equipo técnico. Si eres un experto en desarrollo con .NET y C#, tienes sólidos conocimientos en contenedores y ....netC#kubernetes"
Consultor/a de Gestión de Identidades,CAS TRAINING,https://www.tecnoempleo.com/consultor-gestion-identidades-cas-training/ibm-cyberark/rf-40271a2d9233335ab94c,12/05/2025,Actualizada,Madrid,"IBM, CYBERARK",Actualizada,"CAS Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a un/a Consultor/a de gestión de ...IBMCYBERARK"
Analista/programador en COBOL/400,Arelance,https://www.tecnoempleo.com/analista-programador-en-cobol-400-arelance/cobol-as400-rpg/rf-93ba17dab2c123fe4443,12/05/2025,Actualizada,100% remoto,"Cobol, AS400, RPG",Actualizada,"¿Cómo vas a afrontar tu desarrollo profesional? Acompañado o en solitario, con vistas al futuro o sólo en el presente, con entusiasmo o sin ilusión.
En Arelance sabemos ...CobolAS400RPG"
Angular Developer,Second Window,https://www.tecnoempleo.com/angular-developer-second-window/angular-typescript-javascript/rf-14e01312e244f3dcae46,12/05/2025,Actualizada,100% remoto,"Angular, Typescript, JavaScript",Actualizada,¡Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Desarrollador/a Front con Angular en una posición 100% en remoto. Proyecto estable y a largo...AngularTypescriptJavaScript
Development Engineer,Grupo Sermicro,https://www.tecnoempleo.com/development-engineer-presencial/php-android-ios/rf-1e6419914240a3bdb249,12/05/2025,Actualizada,Valencia,"PHP, Android, iOS",Actualizada,"Desarrollo de aplicaciones:
• Desarrollo web en PHP y/o .Net.
• Desarrollo de funcionalidades en Android, iOS y Smart TV.
• Ingeniería Técnico o Grado (...PHPAndroidiOS"
IT Project Manager,CAS TRAINING,https://www.tecnoempleo.com/it-project-manager-cas-training/pmo-mainframe-z-os/rf-3cad1b2472a9231cd142,12/05/2025,Actualizada,Madrid,"PMO, mainframe, Z/OS",Actualizada,"En CAS Training, empresa líder con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, buscamos un/a Project Manager con experiencia en IT ...PMOmainframeZ/OS"
¡Todos los perfiles JAVA!,Digital Talent Agency,https://www.tecnoempleo.com/todos-los-perfiles-java-digital-talent-agency/java-j2ee-spring-springboot-/rf-830a18366221a37f474d,12/05/2025,Actualizada,100% remoto,"Java, J2EE, Spring",Actualizada,"¿Quieres trabajar en un equipo altamente cualificado, que te apoye, en una empresa que te cuide y te ayude a conseguir tus objetivos, donde además podrás trabajar con las...JavaJ2EESpring"
Técnico Sistemas BMC Digital Workplace,PSS,https://www.tecnoempleo.com/tecnico-sistemas-bmc-digital-workplace-pss/bmc-digital-workplace-remedy-he/rf-4dc91ed4d27f23debc42,12/05/2025,Actualizada,100% remoto,"BMC, Digital Workplace, Remedy",Actualizada,¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría ...BMCDigital WorkplaceRemedy
Data Engineer con Talend,CMV Consultores,https://www.tecnoempleo.com/data-engineer-con-talend-cmv-consultores/talend-etl-mongodb/rf-419111e1c2d0b36e9141,12/05/2025,Actualizada,100% remoto,"talend, ETL, MongoDB",Actualizada,Desde CMV Consultores estamos buscando incoporar un perfil Data engineer con experiencia en Talend para un proyecto 100% TELETRABAJO con uno de nuestros principales clientes...talendETLMongoDB
Project Manager Mainfraime (Z/OS),Serem,https://www.tecnoempleo.com/project-manager-mainfraime-z-os-serem/mainframe-z-os/rf-c35d151272ba83ed6746,12/05/2025,Actualizada,Barcelona,"Mainframe, Z/OS",Actualizada,"Desde Serem nos encontramos en la búsqueda de un Project Manager ´ Mainfraime (Z/OS, mainframe)

Funciones:

Gestor Mainframe con conocimientos técnicos 

Gestión de ...MainframeZ/OS"
Programadores Junior/Senior Java,Seltime,https://www.tecnoempleo.com/programadores-junior-senior-java-seltime/java-spring-struts/rf-2d821a0fc2ff13f58646,12/05/2025,Actualizada,100% remoto,"java, spring, Struts",Actualizada,"SELTIME compañía española en proceso de expansión, líder en dar soluciones tecnológicas específicas a cada cliente y un trato personalizado a nuestros técnicos.

...javaspringStruts"
"Programador/a C, C++",Serem,https://www.tecnoempleo.com/programador-c-c-serem/c-c-sql/rf-de9318a08285d3235945,12/05/2025,Actualizada,Madrid,"C, C++, SQL",Actualizada,"Desde Serem nos encontramos en la búsqueda para importante cliente ubicado en Madrid un/una Programador C++. 

Se requiere:

Titulación universitaria. 

Coordinación ...CC++SQL"
Desarrollador/a Full Stack Google Cloud,CAS TRAINING,https://www.tecnoempleo.com/desarrollador-full-stack-google-cloud-cas-training/java-vue-python-google-/rf-0b2e167d12e1a3fec84a,12/05/2025,Actualizada,100% remoto,"Java, Vue, Python",Actualizada,"En CAS Training, empresa líder con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, buscamos un/a Project Manager con experiencia en IT ...JavaVuePython"
Programador/a Python / FastAPI / IA,Serem,https://www.tecnoempleo.com/programador-python-fastapi-ia-serem/python-fastapi-ia/rf-78d31903f2c88309d246,12/05/2025,Actualizada,100% remoto,"Python, FastAPI, IA",Actualizada,"Desde Serem nos encontramos en la búsqueda de perfiles Programador/a Python / FastAPI para importante cliente modalidad remoto 100%. 

Funciones:

Desarrollo de CU Técnicos ...PythonFastAPIIA"
Data Engineer Power BI,PSS,https://www.tecnoempleo.com/data-engineer-power-bi-pss/power-bi-tableu-python-cloud-qliksense/rf-b85a1cd992f1d357244d,12/05/2025,Actualizada,Madrid,"Power BI, Tableu, Python",Actualizada,¿Te apetece formar parte de una compañía del sector IT? si estas buscando un proyecto estable y seguir evolucionando en tu carrera profesional acompañado del mejor talento...Power BITableuPython
Administrador/a de Sistemas Red Hat,CAS TRAINING,https://www.tecnoempleo.com/administrador-sistemas-red-hat-cas-training/red-hat-linux-vmware-red-hat-s/rf-094d147fc2cfa37a6a42,12/05/2025,Actualizada,Madrid,"Red Hat, Linux, VMWare",Actualizada,"¿Eres un experto/a en la administración de entornos Red Hat y buscas un nuevo desafío en el sector público? ¡Esta es tu oportunidad!

Estamos buscando un Administrador/a ...Red HatLinuxVMWare"
Desarrollador/a Scala Junior,CAS TRAINING,https://www.tecnoempleo.com/desarrollador-scala-junior-cas-training/scala-cloud-aws/rf-23e51075027f837b764b,12/05/2025,Actualizada,100% remoto,"Scala, Cloud, AWS",Actualizada,"🚀 Estamos en búsqueda de un/a profesional con al menos 1 año de experiencia real en desarrollo con Scala, para participar en un proyecto ubicado en Madrid – Las Tablas...ScalaCloudAWS"
Administrador/a sistemas EDR y NDR,CAS TRAINING,https://www.tecnoempleo.com/administrador-sistemas-edr-ndr-cas-training/edr-ndr-trellix-epolicy-orches/rf-1583120132b72367cc46,12/05/2025,Actualizada,Madrid,"EDR, NDR, Trellix epolicy orchestrator",Actualizada,"CAS Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a Administrador/a sistemas EDR y NDR ...EDRNDRTrellix epolicy orchestrator"
Ingeniero/a Infraestructura AWS/Azure,CAS TRAINING,https://www.tecnoempleo.com/ingeniero-infraestructura-aws-azure-cas-training/aws-azure-fileshare-dfs/rf-99d21607c2ac939cb849,12/05/2025,Actualizada,Barcelona,"AWS, Azure, Fileshare",Actualizada,"🚀 Buscamos un/a Ingeniero/a de Infraestructura con experiencia en entornos cloud (AWS y Azure) y conocimiento sólido en Fileshare – DFS, para colaborar en un proyecto de...AWSAzureFileshare"
Desarrollador Java / Microservicios,Arelance,https://www.tecnoempleo.com/desarrollador-java-microservicios-arelance/java-spring-git-microservicios-/rf-81fe1ab402e233baa346,12/05/2025,Actualizada,100% remoto,"java, spring, git",Actualizada,"¿Cómo vas a afrontar tu desarrollo profesional? 

En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos mucho ...javaspringgit"
Analista Programador Cobol,Arelance,https://www.tecnoempleo.com/analista-programador-cobol-arelance/cobol-cics-db2-nemesis/rf-c8221b4442d7338ddf42,12/05/2025,Actualizada,100% remoto,"cobol, cics, db2",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...cobolcicsdb2
Administrador/a Jira 100% remoto,Arelance,https://www.tecnoempleo.com/administrador-jira-100-remoto-remoto/jira-confluence-groovy-scriptrunner/rf-988c163df21733990342,12/05/2025,Actualizada,100% remoto,"jira, confluence, groovy",Actualizada,"¿Eres un/a Administrador Jira/Confluence? ¡Te estamos buscando!

En Arelance, sabemos que las personas son el activo más importante dentro de una empresa. Por ello, ...jiraconfluencegroovy"
Arquitecto/a de seguridad SENIOR,CMV Consultores,https://www.tecnoempleo.com/arquitecto-seguridad-senior-cmv-consultores/iso-owasp-nist-iaas-paas-saas/rf-9d8f18b9d2d4c3030849,12/05/2025,Actualizada,100% remoto,"ISO, OWASP, NIST",Actualizada,Desde CMV Consultores estamos buscando incorporar un perfil senior arquitecto/a de seguridad de la información para un proyecto en colaboración con uno de nuestros ...ISOOWASPNIST
Desarrollador Java con Inglés,PSS,https://www.tecnoempleo.com/desarrollador-java-con-ingles-pss/java-microservicios-spring-agile/rf-38161e12129ab36a8544,12/05/2025,Actualizada,100% remoto,"Java, Microservicios, Spring",Actualizada,¿Te apetece formar parte de una compañía del sector IT? si estas buscando un proyecto estable y seguir evolucionando en tu carrera profesional acompañado del mejor talento...JavaMicroserviciosSpring
Desarrollador/a Java,CMV Consultores,https://www.tecnoempleo.com/desarrollador-java-cmv-consultores/java-microservicios/rf-727b1d8dc25b1347ec41,12/05/2025,Actualizada,100% remoto,"java, microservicios",Actualizada,"Desde CMV Consultores estamos buscando incorporar un perfil desarrollador java para un proyecto 100% teletrabajo en colaboración con uno de nuestros principales clientes. 

...javamicroservicios"
Programadores y Analistas Java,Arelance,https://www.tecnoempleo.com/programadores-analistas-java-arelance/java-sql-git-spring-microservicios-s/rf-6478167bb2e7d373d346,12/05/2025,Actualizada,100% remoto,"java, sql, git",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...javasqlgit
Product Owner FinOps (IA),CMV Consultores,https://www.tecnoempleo.com/product-owner-finops-ia-cmv-consultores/ia-genia-sql-power-bi-aws-finops/rf-31281a871232532ef747,12/05/2025,Actualizada,100% remoto,"IA, GenIA, SQL",Actualizada,"Desde CMV Consultores estamos buscando incorporar un product owner para liderar la solución de FinOps en una plataforma de Generative AI (GenAI) construida sobre AWS.

SE ...IAGenIASQL"
"Ingeniero Diseño, Requisitos y Pruebas",Arelance,https://www.tecnoempleo.com/ingeniero-diseno-requisitos-pruebas-arelance/doors-ea-uml-aodb/rf-7a351d1db2cf8328d046,12/05/2025,Actualizada,Madrid,"doors, ea, uml",Actualizada,"¿Cómo vas a afrontar tu desarrollo profesional? Acompañado o en solitario, con vistas al futuro o sólo en el presente, con entusiasmo o sin ilusión.
En Arelance sabemos ...doorseauml"
Ingeniero C/C++ (sistemas distribuidos),Arelance,https://www.tecnoempleo.com/ingeniero-c-c-sistemas-distribuidos-arelance/c-c-python-ada-doors-git-jira/rf-9d6e1378222533c46c49,12/05/2025,Actualizada,100% remoto,"c/c++, python, ada",Actualizada,"¿Cómo vas a afrontar tu desarrollo profesional? Acompañado o en solitario, con vistas al futuro o sólo en el presente, con entusiasmo o sin ilusión.
En Arelance sabemos ...c/c++pythonada"
Data Engineer GenAI,CMV Consultores,https://www.tecnoempleo.com/data-engineer-genai-cmv-consultores/genai-rag-llm-python/rf-20aa1f10d2ff33b2db49,12/05/2025,Actualizada,Madrid,"GenAI, RAG, LLM",Actualizada,Desde CMV Consultores estamos buscando incorporar un perfil Data Science con experiencia en IA generativa para un proyecto en colaboración con uno de nuestros principales ...GenAIRAGLLM
Developer Fullstack .NET,Social You,https://www.tecnoempleo.com/developer-fullstack-net-social-you/asp-net-net-core-owasp-c-api-rest-soap-/rf-b1651fe5829853dbf14d,12/05/2025,Actualizada,100% remoto,"asp .net, .NET Core, owasp",Actualizada,Estamos buscando un/a Desarrollador/a Fullstack .NET con experiencia en tecnologías modernas y metodologías ágiles. La persona seleccionada será responsable del desarrollo...asp .net.NET Coreowasp
Data Engineer Senior,CMV Consultores,https://www.tecnoempleo.com/data-engineer-senior-cmv-consultores/python-scala-kotlin-spark-sql-aws-s3-/rf-393e1e77620533eeca4b,12/05/2025,Actualizada,100% remoto,"python, scala, kotlin",Actualizada,"Desde CMV Consultores estamos buscando incorporar un perfil Data Engineer Senior, para un proyecto 100% teletrabajo en colaboración con uno de nuestros principales clientes...pythonscalakotlin"
Administrador/a ELK,NPR Spain,https://www.tecnoempleo.com/administrador-elk-npr-spain/elk-elastic-stack-elasticsearch-logstash-kiban/rf-b7ce104ce205a354ee42,12/05/2025,Actualizada,100% remoto,"ELK, Elastic Stack, ElasticSearch",Actualizada,"En NPR Spain estamos buscando un/a Administrador/a ELK (nivel medio/senior) para integrarse en un equipo técnico consolidado y participar en el mantenimiento, despliegue y ...ELKElastic StackElasticSearch"
Programador/a SAP ABAP,CAS TRAINING,https://www.tecnoempleo.com/programador-sap-abap-cas-training/sap-abap-sap-fi/rf-cedd1142527383745f4a,12/05/2025,Actualizada,Madrid,"SAP, ABAP, SAP FI",Actualizada,"Buscamos un Programador/a SAP ABAP Senior con más de 5 años de experiencia en desarrollo y customización de módulos SAP, especialmente en la integración con SAP FI. La ...SAPABAPSAP FI"
Técnico/a de Nómina y Seguridad Social,CAS TRAINING,https://www.tecnoempleo.com/tecnico-nomina-seguridad-social-cas-training/successfactors-workday-cegig-/rf-f1551676b206538a9b4f,12/05/2025,Actualizada,Madrid,"SuccessFactors, Workday, Cegig",Actualizada,En CAS Training buscamos incorporar un/a Técnico/a de Nómina y Seguridad Social con más de 4 años de experiencia para integrar a uno de nuestros equipos de trabajo. ...SuccessFactorsWorkdayCegig
Técnico/a Cableado,Grupo Sermicro,https://www.tecnoempleo.com/tecnico-cableado-grupo-sermicro/cableado-fibra-optica-telecomunicaciones/rf-95e617a422ddf31ebd40,12/05/2025,Actualizada,Zaragoza,"cableado, fibra optica, telecomunicaciones",Actualizada,Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador ...cableadofibra opticatelecomunicaciones
DevOps - CI/CD,Arelance,https://www.tecnoempleo.com/devops-ci-cd-arelance/python-flask-desarrollo-ci-cd-pipelines-groovy-githu/rf-d87a1f66120b53e06748,12/05/2025,Actualizada,100% remoto,"python, flask, desarrollo",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...pythonflaskdesarrollo
Gestor/a de Proyectos Telecom,CAS TRAINING,https://www.tecnoempleo.com/gestor-proyectos-telecom-cas-training/ccna-ccnp-xgpon-cto-olt/rf-e9b21e2042e9a3ebba49,12/05/2025,Actualizada,Madrid,"CCNA, CCNP, XGPON",Actualizada,"Seleccionamos para proyecto ubicado en Pozuelo de Alarcón ( Madrid ) con modalidad hibrida de trabajo, un Gestor/ra de proyectos con experiencia mínima de 5 años en la ...CCNACCNPXGPON"
Desarrollador/a Python (IA Generativa),Arelance,https://www.tecnoempleo.com/desarrollador-python-ia-generativa-arelance/python-microservicios-fastapi-/rf-83121f2ed203e3cafb40,12/05/2025,Actualizada,Madrid,"python, microservicios, fastapi",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...pythonmicroserviciosfastapi
Consultor/a Senior ELK,NPR Spain,https://www.tecnoempleo.com/consultor-senior-elk-npr-spain/elk-elastic-stack-red-hat-linux-grafana-doc/rf-ae7010e322b21306734e,12/05/2025,Actualizada,Madrid,"ELK, Elastic Stack, Red Hat",Actualizada,"En NPR Spain, estamos ampliando nuestro equipo y buscamos un/a Consultor/a Senior especializado/a en ELK, con capacidad para aportar valor en entornos de observabilidad ...ELKElastic StackRed Hat"
PROJECT MANAGER con INGLÉS,Digital Talent Agency,https://www.tecnoempleo.com/project-manager-con-ingl-s-digital-talent-agency/java-sql-aws-rest/rf-c1451b7b02a1136db74a,12/05/2025,Actualizada,A Coruña,"java, sql, aws",Actualizada,"¡Buscamos un/a Project Manager para unirse a un gran equipo!

Si eres un profesional con experiencia gestionando proyectos en el sector TIC, ¡esta es tu oportunidad! Únete ...javasqlaws"
Técnico de Formación y Licitaciones,Arelance,https://www.tecnoempleo.com/tecnico-formacion-licitaciones-arelance/navision-redmine/rf-bc9a1df3e2a273b86245,12/05/2025,Actualizada,100% remoto,"Navision, Redmine",Actualizada,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...NavisionRedmine
Técnico/a microinformático/a,Serem,https://www.tecnoempleo.com/tecnico-microinformatico-a-serem/soporte-windows-linux-software-hardware/rf-28bf17b972c60317ce47,12/05/2025,Actualizada,Barcelona,"soporte, windows, linux",Actualizada,"¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestra web!
En SEREM estamos comprometidos con diversos proyectos y ...soportewindowslinux"
.Net SQL FullStack Developer,CAS TRAINING,https://www.tecnoempleo.com/net-sql-fullstack-developer-cas-training/net-c-sql/rf-06ce161d1278b3dbf74f,12/05/2025,Actualizada,Madrid,".NET, C#, SQL",Actualizada,"Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a un/a .Net SQL FullStack Developer ....NETC#SQL"
Software Engineer,CAS TRAINING,https://www.tecnoempleo.com/software-engineer-cas-training/azure-kubernetes-terraform-git-java-spring-/rf-353f1db1126403f64d4a,12/05/2025,Actualizada,100% remoto,"Azure, Kubernetes, Terraform",Actualizada,"En CAS Training, empresa líder con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, buscamos un/a Software Engineer para un importante ...AzureKubernetesTerraform"
Data Analyst Junior,Amazon,https://www.tecnoempleo.com/data-analyst-junior-amazon/word-excel-outlook-sql/rf-9da01722b2fcd3b80d42,12/05/2025,Actualizada,Barcelona,"Word, Excel, Outlook",Actualizada,The EU External Fulfilment (EF) network consists of circa 35 operations which offer flexible solutions to the CF network operated by external providers (3PL providers). EU EF ...WordExcelOutlook
Software Developer,Oracle,https://www.tecnoempleo.com/software-developer-madrid/programacion/rf-77db1bde520483041445,12/05/2025,Actualizada,Madrid,programacion,Actualizada,"Job Description

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

Career Level - IC3

Responsibilities

As ...programacion"
Backend Software Engineer,AstraZeneca,https://www.tecnoempleo.com/backend-software-engineer-astrazeneca/typescript-express/rf-551e1ed0d22ea3d29c48,12/05/2025,Actualizada,Barcelona,"Typescript, Express",Actualizada,"This role is based in Barcelona, with an on-site commitment of three days a week. Fluency in English is required. 

At Evinova, we´re revolutionizing clinical trials by ...TypescriptExpress"
Senior Frontend Software Engineer,AstraZeneca,https://www.tecnoempleo.com/senior-frontend-software-engineer-astrazeneca/react-redux-api-html-css/rf-2ca614fd921af37a1343,12/05/2025,Actualizada,Barcelona,"React, Redux, API",Actualizada,"This role is based in Barcelona, with an on-site commitment of three days a week. Fluency in English is required.

At Evinova, we´re revolutionizing clinical trials by ...ReactReduxAPI"
Frontend Software Engineer,AstraZeneca,https://www.tecnoempleo.com/frontend-software-engineer-astrazeneca/react-axios-api-html5-css3/rf-a44416eb42f2b30ffc4e,12/05/2025,Actualizada,Barcelona,"React, Axios, API",Actualizada,"This role is based in Barcelona, with an on-site commitment of three days a week. Fluency in English is required. 

At Evinova, we´re revolutionizing clinical trials by ...ReactAxiosAPI"
Machine Learning Engineer,AstraZeneca,https://www.tecnoempleo.com/machine-learning-engineer-astrazeneca/machine-learning-python/rf-303b12c7c2b563a2cb49,12/05/2025,Actualizada,Barcelona,"Machine Learning, Python",Actualizada,"Introduction to project

We are an Agile team that uses knowledge graphs and machine learning in collaboration with our scientists to help develop better drugs faster, ...Machine LearningPython"
Senior Backend Software Engineer,AstraZeneca,https://www.tecnoempleo.com/senior-backend-software-engineer-astrazeneca/typescript-express-dynamodb-m/rf-722e151d72a6e3c25c46,12/05/2025,Actualizada,Barcelona,"Typescript, Express, DynamoDB",Actualizada,"This role is based in Barcelona, with an on-site commitment of three days a week. Fluency in English is required.

At Evinova, we´re revolutionizing clinical trials by ...TypescriptExpressDynamoDB"
