link,tecnologias,tipo_puesto,idioma,formacion,nivel_profesional
https://www.tecnoempleo.com/azure-devops-developer-axiom-software-solutions/azure/rf-370f12d50281533dff48,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, azure, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/cto-product-manager-iot-h-m-michael-page/iot-aws/rf-67f013aae24363c2ac4d,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, IoT, AWS, FormaciÃ³n IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/it-manager-spain-and-portugal-retail-michael-page/sap/rf-30981410c21f53924047,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, SAP, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/delivery-project-manager-erp-crm-michael-page/pmp/rf-10e6127922b4d3912146,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, PMP, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/analista-jr-control-interno-michael-page/iso-27001-dora/rf-98c8178f42d5f3c90d4e,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, ISO 27001, DORA, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/especialista-ciberseguridad-grupo-ns/ciberseguridad-modbus-profinet/rf-c363102ca2b29385cf46,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Ciberseguridad, Modbus, Profinet, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/programador-pl-sql-oracle-forms-grupo-ns/oracle-plsql-pl-sql-apex/rf-b9201193e23be333f644,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, oracle, plsql, PL/SQL, apex, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/desarrollador-java-devoteam/java-spring-restful-openapi-swagger/rf-4f08143612c203ba1b4a,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Java, Spring, RestFul, OpenAPI, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/ingeniero-software-gmv/excel-matomo-linux/rf-e2e511eeb2db630cf44d,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Excel, Matomo, Linux, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/net-backend-developer-hays/net-c/rf-74041b254207033e7741,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, NET, C#, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/health-and-safety-engineer-arelance/ram-ecss/rf-de49198072f29301c74e,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, RAM, ECSS, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/desarrollador-software-dynomic/net-azure/rf-c5fd11e7a25b734b034d,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, .net, azure, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/qa-automatizacion-panel-sistemas-informaticos/selenium-java-rest-assured-g/rf-d3381b38221f43121048,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Selenium, Java, Rest Assured, Git, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/online-data-analyst-spanish-es-telus-international/data/rf-3bb61a9d3201e3b28f4e,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Data, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/tecnico-redes-trs-staffing-solutions/cisco-hp-aruba-fortigate-fortianalyze/rf-867a1e939233034daf42,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Cisco, HP, Aruba, Fortigate, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
